Year.f;Treat;Gr;Mow;Disturb;Fert;spatial.mean.rich;spatial.sd.rich;Rich.Spatial.stability;spatial.mean.beta;spatial.sd.beta;beta.Spatial.stability;spatial.mean.Live;spatial.sd.Live;Live.Spatial.stability;spatial.mean.BP;spatial.sd.BP;Berger.Spatial.stability
9;ExC;Ex;Unmow;Intact;C;3;1.414213562;2.121320344;0.33678923;0.09636149;3.495060434;353.4;66.91169554;5.281587877;0.9738;0.029777508;32.70253476
9;ExF;Ex;Unmow;Intact;F;2;0.707106781;2.828427125;0.15617023;0.064914121;2.405797484;504.5;113.0834869;4.46130566;0.9942;0.005449771;182.4296959
9;GrC;Gr;Unmow;Grazed;C;23.6;6.387487769;3.694723317;0.308278877;0.039987372;7.709405851;378.938;101.2660146;3.742005661;0.317;0.066970143;4.733452665
9;GrF;Gr;Unmow;Grazed;F;23.4;11.37101579;2.057863646;0.262431204;0.04807403;5.458897513;156.194;50.97604957;3.064066386;0.4074;0.196073456;2.077792727
9;MoC;Ex;Mow;Mowed;C;21.8;4.324349662;5.041220462;0.251272007;0.030533793;8.229308694;207.87;50.01889143;4.155829809;0.2474;0.080782424;3.062547374
9;MoF;Ex;Mow;Mowed;F;9.8;1.788854382;5.478366545;0.249458333;0.060042601;4.154688956;288.2;66.31821959;4.345713769;0.658;0.107974534;6.09402954
10;ExC;Ex;Unmow;Intact;C;1.4;0.547722558;2.556038602;0.336278923;0.145218884;2.315669386;190.3;46.17439767;4.121331509;0.9934;0.009370165;106.0173386
10;ExF;Ex;Unmow;Intact;F;1.2;0.447213595;2.683281573;0.153395529;0.092930258;1.650652127;325.9;155.8378163;2.091276737;0.9972;0.00626099;159.2719277
10;GrC;Gr;Unmow;Grazed;C;16;6.244997998;2.562050461;0.465392423;0.06969499;6.677559268;71.91;5.984396377;12.0162495;0.3642;0.086320334;4.219168122
10;GrF;Gr;Unmow;Grazed;F;18.8;4.969909456;3.782765092;0.379950584;0.035480832;10.7086155;14.04;2.042180208;6.875005422;0.4192;0.067850571;6.178282557
10;MoC;Ex;Mow;Mowed;C;15.4;5.683308895;2.709689071;0.357176241;0.044456472;8.034291161;53.73;15.69209992;3.424015923;0.3382;0.054774081;6.174453153
10;MoF;Ex;Mow;Mowed;F;6.6;1.341640786;4.91934955;0.311419916;0.07067101;4.406614753;97.95;95.35796375;1.027182169;0.7836;0.122410375;6.401418161
